Order_ID,Order_Date,Month,Quarter,Product_ID,Product_Name,Category,City,Region,Sales_Channel,Customer_Segment,Payment_Method,Quantity,Unit_Price_INR,Discount_Percent,Total_Revenue_INR,Return_Flag,Customer_Rating
ORD0052,2024-08-21,August,Q3,P003,Office Chair,Furniture,Pune,West,Corporate B2B,Enterprise,EMI,10,10800.0,10,108000.0,No,5
ORD0053,2024-09-15,September,Q3,P007,Mechanical Keyboard,Electronics,Pune,West,Online,Enterprise,Cash,8,4050.0,10,32400.0,No,3
ORD0054,2024-09-23,September,Q3,P008,A4 Paper Ream,Stationery,Bangalore,South,Retail Store,SME,Credit Card,5,380.0,5,1900.0,No,5
ORD0055,2024-02-11,February,Q1,P003,Office Chair,Furniture,Mumbai,West,Online,SME,UPI,4,12000.0,0,48000.0,No,4
ORD0056,2024-07-31,July,Q3,P001,Laptop Pro 15,Electronics,Bangalore,South,Retail Store,SME,EMI,1,52000.0,20,52000.0,No,
ORD0057,2024-06-29,June,Q2,P005,LED Desk Lamp,Furniture,Kolkata,East,Retail Store,Enterprise,EMI,10,1710.0,5,17100.0,No,
ORD0058,2024-09-05,September,Q3,P001,Laptop Pro 15,Electronics,Kolkata,East,Retail Store,Enterprise,Cash,3,55250.0,15,165750.0,No,5
ORD0059,2024-01-14,January,Q1,P015,Webcam HD,Electronics,Kolkata,East,Corporate B2B,Enterprise,Credit Card,2,2720.0,15,5440.0,No,1
ORD0060,2024-05-13,May,Q2,P007,Mechanical Keyboard,Electronics,Chennai,South,Online,SME,Net Banking,6,3825.0,15,22950.0,No,4
ORD0061,2024-05-09,May,Q2,P014,Filing Cabinet,Furniture,Delhi,North,Retail Store,Individual,EMI,1,7650.0,10,7650.0,No,
ORD0062,2024-11-29,November,Q4,P001,Laptop Pro 15,Electronics,Guwahati,Northeast,Online,Individual,Credit Card,10,61750.0,5,617500.0,No,1
ORD0063,2024-10-15,October,Q4,P004,Notebook Set (5 pack),Stationery,Pune,West,Corporate B2B,SME,Net Banking,3,200.0,20,600.0,No,1
ORD0064,2024-03-24,March,Q1,P005,LED Desk Lamp,Furniture,Delhi,North,Corporate B2B,Individual,Net Banking,10,1530.0,15,15300.0,No,1
ORD0065,2024-10-30,October,Q4,P012,Monitor 24 inch,Electronics,Bangalore,South,Online,Enterprise,Net Banking,10,18000.0,0,180000.0,No,1
ORD0066,2024-06-26,June,Q2,P009,Ergonomic Mouse,Electronics,Kolkata,East,Corporate B2B,SME,Credit Card,9,1440.0,10,12960.0,Yes,4
ORD0067,2024-02-24,February,Q1,P007,Mechanical Keyboard,Electronics,Chennai,South,Corporate B2B,SME,UPI,7,4275.0,5,29925.0,No,3
ORD0068,2024-11-11,November,Q4,P013,Printer Ink Cartridge,Stationery,Pune,West,Retail Store,SME,EMI,5,855.0,10,4275.0,No,1
ORD0069,2024-05-22,May,Q2,P015,Webcam HD,Electronics,Pune,West,Online,SME,EMI,10,2720.0,15,27200.0,No,3
ORD0070,2024-04-03,April,Q2,P008,A4 Paper Ream,Stationery,Bangalore,South,Retail Store,SME,Net Banking,5,320.0,20,1600.0,No,
ORD0071,2024-01-06,January,Q1,P009,Ergonomic Mouse,Electronics,Bangalore,South,Online,Individual,Cash,8,1280.0,20,10240.0,No,4
ORD0072,2024-08-17,August,Q3,P013,Printer Ink Cartridge,Stationery,Guwahati,Northeast,Online,SME,UPI,7,902.5,5,6317.5,No,4
ORD0073,2024-10-10,October,Q4,P009,Ergonomic Mouse,Electronics,Chennai,South,Retail Store,Enterprise,EMI,6,1440.0,10,8640.0,No,
ORD0074,2024-05-08,May,Q2,P004,Notebook Set (5 pack),Stationery,Delhi,North,Corporate B2B,Individual,Net Banking,2,200.0,20,400.0,No,2
ORD0075,2024-04-20,April,Q2,P012,Monitor 24 inch,Electronics,Pune,West,Retail Store,Enterprise,EMI,9,14400.0,20,129600.0,No,
ORD0076,2024-04-09,April,Q2,P005,LED Desk Lamp,Furniture,Bangalore,South,Retail Store,Individual,Net Banking,1,1440.0,20,1440.0,No,
ORD0077,2024-01-28,January,Q1,P009,Ergonomic Mouse,Electronics,Hyderabad,South,Corporate B2B,Individual,Cash,2,1600.0,0,3200.0,No,4
ORD0078,2024-06-23,June,Q2,P003,Office Chair,Furniture,Guwahati,Northeast,Retail Store,SME,Credit Card,2,10200.0,15,20400.0,No,1
ORD0079,2024-03-18,March,Q1,P003,Office Chair,Furniture,Hyderabad,South,Online,Individual,Credit Card,9,10200.0,15,91800.0,No,2
ORD0080,2024-09-24,September,Q3,P007,Mechanical Keyboard,Electronics,Pune,West,Retail Store,SME,EMI,7,4050.0,10,28350.0,No,
ORD0081,2024-02-20,February,Q1,P013,Printer Ink Cartridge,Stationery,Bangalore,South,Corporate B2B,Individual,Net Banking,2,902.5,5,1805.0,No,2
ORD0082,2024-01-02,January,Q1,P007,Mechanical Keyboard,Electronics,Pune,West,Corporate B2B,Enterprise,Cash,5,4500.0,0,22500.0,No,4
ORD0083,2024-02-06,February,Q1,P011,Standing Desk,Furniture,Bangalore,South,Retail Store,Enterprise,EMI,4,18700.0,15,74800.0,No,
ORD0084,2024-03-17,March,Q1,P015,Webcam HD,Electronics,Hyderabad,South,Online,Individual,Credit Card,3,2880.0,10,8640.0,No,3
ORD0085,2024-08-12,August,Q3,P002,Wireless Headphones,Electronics,Pune,West,Corporate B2B,SME,Cash,5,2800.0,20,14000.0,No,5
ORD0086,2024-01-21,January,Q1,P015,Webcam HD,Electronics,Kolkata,East,Corporate B2B,SME,EMI,5,3200.0,0,16000.0,No,5
ORD0087,2024-10-27,October,Q4,P001,Laptop Pro 15,Electronics,Hyderabad,South,Corporate B2B,Individual,UPI,8,52000.0,20,416000.0,No,2
ORD0088,2024-10-26,October,Q4,P007,Mechanical Keyboard,Electronics,Pune,West,Online,SME,Net Banking,7,4050.0,10,28350.0,No,
ORD0089,2024-03-23,March,Q1,P006,USB-C Hub,Electronics,Kolkata,East,Corporate B2B,SME,Net Banking,7,1760.0,20,12320.0,Yes,
ORD0090,2024-05-09,May,Q2,P006,USB-C Hub,Electronics,Delhi,North,Retail Store,Enterprise,Credit Card,9,1870.0,15,16830.0,No,
ORD0091,2024-07-04,July,Q3,P010,Whiteboard Marker Set,Stationery,Pune,West,Corporate B2B,SME,Credit Card,4,162.0,10,648.0,No,4
ORD0092,2024-12-23,December,Q4,P008,A4 Paper Ream,Stationery,Delhi,North,Online,Enterprise,EMI,4,380.0,5,1520.0,No,
ORD0093,2024-07-27,July,Q3,P002,Wireless Headphones,Electronics,Bangalore,South,Online,SME,Credit Card,3,2975.0,15,8925.0,No,
ORD0094,2024-12-27,December,Q4,P005,LED Desk Lamp,Furniture,Kolkata,East,Retail Store,SME,UPI,8,1440.0,20,11520.0,No,
ORD0095,2024-11-02,November,Q4,P009,Ergonomic Mouse,Electronics,Mumbai,West,Online,SME,Cash,6,1280.0,20,7680.0,No,
ORD0096,2024-06-01,June,Q2,P014,Filing Cabinet,Furniture,Pune,West,Online,SME,EMI,8,7650.0,10,61200.0,No,4
ORD0097,2024-08-21,August,Q3,P015,Webcam HD,Electronics,Chennai,South,Online,Enterprise,UPI,10,2720.0,15,27200.0,No,1
ORD0098,2024-06-11,June,Q2,P012,Monitor 24 inch,Electronics,Pune,West,Corporate B2B,SME,Cash,3,15300.0,15,45900.0,No,
ORD0099,2024-10-29,October,Q4,P006,USB-C Hub,Electronics,Delhi,North,Retail Store,Individual,EMI,8,2200.0,0,17600.0,No,2
ORD0100,2024-02-08,February,Q1,P008,A4 Paper Ream,Stationery,Hyderabad,South,Retail Store,Enterprise,Cash,2,360.0,10,720.0,No,4
ORD0101,2024-06-11,June,Q2,P011,Standing Desk,Furniture,Pune,West,Corporate B2B,Individual,EMI,2,20900.0,5,41800.0,No,2
ORD0102,2024-02-16,February,Q1,P007,Mechanical Keyboard,Electronics,Delhi,North,Corporate B2B,Enterprise,Credit Card,8,4275.0,5,34200.0,No,1
ORD0103,2024-06-15,June,Q2,P013,Printer Ink Cartridge,Stationery,Guwahati,Northeast,Retail Store,SME,Net Banking,7,902.5,5,6317.5,No,2
ORD0104,2024-03-28,March,Q1,P003,Office Chair,Furniture,Delhi,North,Corporate B2B,SME,EMI,4,10200.0,15,40800.0,No,
ORD0105,2024-08-24,August,Q3,P011,Standing Desk,Furniture,Hyderabad,South,Retail Store,SME,Credit Card,8,19800.0,10,158400.0,No,
ORD0106,2024-08-14,August,Q3,P006,USB-C Hub,Electronics,Hyderabad,South,Corporate B2B,SME,Net Banking,8,1980.0,10,15840.0,No,4
ORD0107,2024-02-24,February,Q1,P004,Notebook Set (5 pack),Stationery,Kolkata,East,Corporate B2B,SME,EMI,5,225.0,10,1125.0,Yes,4
ORD0108,2024-05-20,May,Q2,P001,Laptop Pro 15,Electronics,Guwahati,Northeast,Corporate B2B,Enterprise,Cash,5,61750.0,5,308750.0,No,2
ORD0109,2024-11-13,November,Q4,P005,LED Desk Lamp,Furniture,Mumbai,West,Corporate B2B,Individual,Credit Card,5,1530.0,15,7650.0,Yes,2
ORD0110,2024-02-16,February,Q1,P015,Webcam HD,Electronics,Hyderabad,South,Retail Store,Enterprise,Cash,3,3040.0,5,9120.0,No,3
ORD0111,2024-09-28,September,Q3,P009,Ergonomic Mouse,Electronics,Hyderabad,South,Online,SME,Cash,5,1440.0,10,7200.0,No,1
ORD0112,2024-03-13,March,Q1,P013,Printer Ink Cartridge,Stationery,Bangalore,South,Corporate B2B,Enterprise,Cash,9,855.0,10,7695.0,No,3
ORD0113,2024-10-01,October,Q4,P002,Wireless Headphones,Electronics,Pune,West,Retail Store,Enterprise,Net Banking,10,2975.0,15,29750.0,No,1
ORD0114,2024-12-11,December,Q4,P004,Notebook Set (5 pack),Stationery,Pune,West,Online,Enterprise,EMI,6,200.0,20,1200.0,No,
ORD0115,2024-08-25,August,Q3,P015,Webcam HD,Electronics,Hyderabad,South,Corporate B2B,SME,Credit Card,3,3200.0,0,9600.0,No,4
ORD0116,2024-02-29,February,Q1,P002,Wireless Headphones,Electronics,Bangalore,South,Corporate B2B,Individual,Cash,8,3150.0,10,25200.0,No,5
ORD0117,2024-08-02,August,Q3,P010,Whiteboard Marker Set,Stationery,Mumbai,West,Retail Store,Enterprise,Credit Card,8,144.0,20,1152.0,No,1
ORD0118,2024-12-19,December,Q4,P006,USB-C Hub,Electronics,Bangalore,South,Retail Store,SME,UPI,6,2200.0,0,13200.0,No,3
ORD0119,2024-02-01,February,Q1,P007,Mechanical Keyboard,Electronics,Hyderabad,South,Online,Individual,Cash,2,4275.0,5,8550.0,No,1
ORD0120,2024-01-26,January,Q1,P013,Printer Ink Cartridge,Stationery,Chennai,South,Online,Individual,EMI,4,950.0,0,3800.0,No,5
ORD0121,2024-04-20,April,Q2,P014,Filing Cabinet,Furniture,Bangalore,South,Retail Store,Individual,EMI,1,7650.0,10,7650.0,No,
ORD0122,2024-03-07,March,Q1,P009,Ergonomic Mouse,Electronics,Hyderabad,South,Online,Individual,Credit Card,3,1600.0,0,4800.0,No,5
ORD0123,2024-06-14,June,Q2,P001,Laptop Pro 15,Electronics,Mumbai,West,Retail Store,Individual,UPI,7,52000.0,20,364000.0,No,
ORD0124,2024-08-17,August,Q3,P013,Printer Ink Cartridge,Stationery,Chennai,South,Corporate B2B,Enterprise,Credit Card,8,760.0,20,6080.0,No,5
ORD0125,2024-06-03,June,Q2,P008,A4 Paper Ream,Stationery,Guwahati,Northeast,Online,SME,Cash,7,400.0,0,2800.0,No,1
ORD0126,2024-02-11,February,Q1,P006,USB-C Hub,Electronics,Mumbai,West,Online,Individual,Net Banking,10,1760.0,20,17600.0,No,5
ORD0127,2024-09-28,September,Q3,P005,LED Desk Lamp,Furniture,Pune,West,Corporate B2B,Enterprise,Cash,2,1800.0,0,3600.0,No,5
ORD0128,2024-04-20,April,Q2,P007,Mechanical Keyboard,Electronics,Pune,West,Online,SME,Net Banking,8,3825.0,15,30600.0,No,
ORD0129,2024-08-06,August,Q3,P006,USB-C Hub,Electronics,Hyderabad,South,Retail Store,Individual,Cash,2,2200.0,0,4400.0,No,
ORD0130,2024-02-19,February,Q1,P012,Monitor 24 inch,Electronics,Chennai,South,Online,Enterprise,Credit Card,10,14400.0,20,144000.0,No,4
ORD0131,2024-06-30,June,Q2,P014,Filing Cabinet,Furniture,Kolkata,East,Corporate B2B,Individual,Net Banking,10,7650.0,10,76500.0,No,2
ORD0132,2024-03-20,March,Q1,P011,Standing Desk,Furniture,Pune,West,Online,Individual,Net Banking,9,19800.0,10,178200.0,No,
ORD0133,2024-04-25,April,Q2,P013,Printer Ink Cartridge,Stationery,Kolkata,East,Corporate B2B,Enterprise,EMI,9,950.0,0,8550.0,No,3
ORD0134,2024-01-15,January,Q1,P003,Office Chair,Furniture,Hyderabad,South,Corporate B2B,SME,Net Banking,6,12000.0,0,72000.0,No,
ORD0135,2024-12-02,December,Q4,P007,Mechanical Keyboard,Electronics,Delhi,North,Online,Enterprise,Credit Card,2,3600.0,20,7200.0,No,3
ORD0136,2024-03-21,March,Q1,P006,USB-C Hub,Electronics,Hyderabad,South,Corporate B2B,SME,EMI,10,2200.0,0,22000.0,No,
ORD0137,2024-11-12,November,Q4,P001,Laptop Pro 15,Electronics,Delhi,North,Retail Store,SME,Cash,8,52000.0,20,416000.0,No,
ORD0138,2024-09-19,September,Q3,P002,Wireless Headphones,Electronics,Chennai,South,Retail Store,Individual,Net Banking,10,2975.0,15,29750.0,No,2
ORD0139,2024-07-21,July,Q3,P010,Whiteboard Marker Set,Stationery,Guwahati,Northeast,Online,Individual,Net Banking,4,171.0,5,684.0,No,
ORD0140,2024-03-02,March,Q1,P001,Laptop Pro 15,Electronics,Pune,West,Corporate B2B,SME,UPI,3,55250.0,15,165750.0,No,
ORD0141,2024-10-13,October,Q4,P014,Filing Cabinet,Furniture,Chennai,South,Online,SME,Credit Card,7,8500.0,0,59500.0,No,
ORD0142,2024-06-09,June,Q2,P010,Whiteboard Marker Set,Stationery,Kolkata,East,Corporate B2B,SME,Cash,5,180.0,0,900.0,No,2
ORD0143,2024-11-12,November,Q4,P008,A4 Paper Ream,Stationery,Chennai,South,Online,SME,Credit Card,4,340.0,15,1360.0,No,4
ORD0144,2024-06-07,June,Q2,P012,Monitor 24 inch,Electronics,Chennai,South,Online,SME,UPI,2,14400.0,20,28800.0,No,2
ORD0145,2024-06-27,June,Q2,P006,USB-C Hub,Electronics,Mumbai,West,Online,Individual,UPI,5,2090.0,5,10450.0,No,
ORD0146,2024-12-01,December,Q4,P002,Wireless Headphones,Electronics,Mumbai,West,Corporate B2B,SME,Cash,10,2800.0,20,28000.0,No,5
ORD0147,2024-11-25,November,Q4,P011,Standing Desk,Furniture,Chennai,South,Corporate B2B,SME,UPI,8,22000.0,0,176000.0,No,3
ORD0148,2024-10-29,October,Q4,P001,Laptop Pro 15,Electronics,Chennai,South,Corporate B2B,Individual,Net Banking,8,55250.0,15,442000.0,Yes,3
ORD0149,2024-02-09,February,Q1,P011,Standing Desk,Furniture,Delhi,North,Corporate B2B,Enterprise,EMI,7,18700.0,15,130900.0,No,1
ORD0150,2024-08-18,August,Q3,P015,Webcam HD,Electronics,Bangalore,South,Retail Store,Enterprise,Cash,9,3040.0,5,27360.0,No,3
ORD0151,2024-02-13,February,Q1,P009,Ergonomic Mouse,Electronics,Mumbai,West,Online,Individual,Cash,8,1280.0,20,10240.0,No,
ORD0152,2024-07-09,July,Q3,P015,Webcam HD,Electronics,Hyderabad,South,Retail Store,SME,Net Banking,10,3200.0,0,32000.0,No,1
ORD0153,2024-06-17,June,Q2,P002,Wireless Headphones,Electronics,Kolkata,East,Retail Store,SME,EMI,3,3150.0,10,9450.0,No,3
ORD0154,2024-06-07,June,Q2,P011,Standing Desk,Furniture,Kolkata,East,Online,Enterprise,Credit Card,5,17600.0,20,88000.0,No,2
ORD0155,2024-12-09,December,Q4,P012,Monitor 24 inch,Electronics,Delhi,North,Corporate B2B,Enterprise,Cash,9,16200.0,10,145800.0,Yes,2
ORD0156,2024-06-23,June,Q2,P013,Printer Ink Cartridge,Stationery,Pune,West,Online,Individual,UPI,3,950.0,0,2850.0,No,5
ORD0157,2024-10-03,October,Q4,P014,Filing Cabinet,Furniture,Guwahati,Northeast,Corporate B2B,SME,EMI,3,6800.0,20,20400.0,No,
ORD0158,2024-12-20,December,Q4,P013,Printer Ink Cartridge,Stationery,Mumbai,West,Corporate B2B,SME,Credit Card,7,855.0,10,5985.0,No,
ORD0159,2024-08-15,August,Q3,P010,Whiteboard Marker Set,Stationery,Hyderabad,South,Corporate B2B,SME,UPI,9,171.0,5,1539.0,No,4
ORD0160,2024-04-09,April,Q2,P006,USB-C Hub,Electronics,Pune,West,Retail Store,SME,Cash,9,1760.0,20,15840.0,No,
ORD0161,2024-04-12,April,Q2,P013,Printer Ink Cartridge,Stationery,Mumbai,West,Retail Store,Individual,Cash,6,760.0,20,4560.0,No,5
ORD0162,2024-03-04,March,Q1,P005,LED Desk Lamp,Furniture,Delhi,North,Online,SME,Cash,9,1710.0,5,15390.0,No,
ORD0163,2024-04-23,April,Q2,P014,Filing Cabinet,Furniture,Pune,West,Retail Store,Individual,Cash,1,7225.0,15,7225.0,No,
ORD0164,2024-02-11,February,Q1,P006,USB-C Hub,Electronics,Bangalore,South,Online,SME,Credit Card,6,2090.0,5,12540.0,No,
ORD0165,2024-08-29,August,Q3,P012,Monitor 24 inch,Electronics,Mumbai,West,Corporate B2B,SME,Cash,10,18000.0,0,180000.0,No,
ORD0166,2024-04-20,April,Q2,P014,Filing Cabinet,Furniture,Mumbai,West,Corporate B2B,Enterprise,EMI,9,7225.0,15,65025.0,No,
ORD0167,2024-06-03,June,Q2,P002,Wireless Headphones,Electronics,Guwahati,Northeast,Online,SME,EMI,8,3500.0,0,28000.0,No,5
ORD0168,2024-10-01,October,Q4,P001,Laptop Pro 15,Electronics,Bangalore,South,Corporate B2B,Individual,Net Banking,7,65000.0,0,455000.0,No,
ORD0169,2024-08-01,August,Q3,P003,Office Chair,Furniture,Delhi,North,Corporate B2B,SME,Credit Card,9,9600.0,20,86400.0,No,5
ORD0170,2024-01-11,January,Q1,P007,Mechanical Keyboard,Electronics,Pune,West,Online,Enterprise,Cash,6,4050.0,10,24300.0,No,1
ORD0171,2024-06-25,June,Q2,P004,Notebook Set (5 pack),Stationery,Delhi,North,Corporate B2B,Enterprise,Net Banking,3,250.0,0,750.0,No,2
ORD0172,2024-12-16,December,Q4,P008,A4 Paper Ream,Stationery,Pune,West,Corporate B2B,Individual,UPI,2,340.0,15,680.0,Yes,
ORD0173,2024-04-12,April,Q2,P015,Webcam HD,Electronics,Guwahati,Northeast,Retail Store,SME,EMI,7,2560.0,20,17920.0,No,
ORD0174,2024-11-27,November,Q4,P004,Notebook Set (5 pack),Stationery,Hyderabad,South,Retail Store,Individual,Net Banking,5,250.0,0,1250.0,No,4
ORD0175,2024-08-13,August,Q3,P015,Webcam HD,Electronics,Kolkata,East,Retail Store,Individual,Cash,8,2880.0,10,23040.0,No,1
ORD0176,2024-08-05,August,Q3,P002,Wireless Headphones,Electronics,Kolkata,East,Corporate B2B,Individual,EMI,5,3150.0,10,15750.0,No,3
ORD0177,2024-06-05,June,Q2,P008,A4 Paper Ream,Stationery,Kolkata,East,Online,Enterprise,Cash,6,340.0,15,2040.0,Yes,3
ORD0178,2024-11-10,November,Q4,P007,Mechanical Keyboard,Electronics,Hyderabad,South,Corporate B2B,Individual,Credit Card,7,4050.0,10,28350.0,No,2
ORD0179,2024-01-16,January,Q1,P003,Office Chair,Furniture,Pune,West,Online,Individual,Credit Card,4,10800.0,10,43200.0,No,1
